UniqueID,Probability1
11862,0.052
11863,0.3
11864,0.272
11865,0.992
11866,0.246
11867,0.334
11868,0.162
11869,0.106
11870,0.378
11871,0.914
11872,0.26
11873,0.248
11874,0.184
11875,0.862
11876,0.268
11877,0.646
11878,0.722
11879,0.296
11880,0.188
11881,0.782
11882,0.232
11883,0.13
11884,0.152
11885,0.046
11886,0.058
11887,0.256
11888,0.316
11889,0.422
11890,0.156
11891,0.924
11892,0.076
11893,0.636
11894,0.064
11895,0.33
11896,0.284
11897,0.288
11898,0.326
11899,0.31
11900,0.116
11901,0.662
11902,0.838
11903,0.294
11904,0.34
11905,0.352
11906,0.98
11907,0.338
11908,0.056
11909,0.294
11910,0.062
11911,0.072
11912,0.08
11913,1
11914,0.406
11915,0.232
11916,0.446
11917,0.498
11918,0.992
11919,0.054
11920,0.11
11921,0.374
11922,0.992
11923,0.984
11924,0.498
11925,0.996
11926,0.372
11927,0.99
11928,0.082
11929,0.278
11930,1
11931,0.39
11932,0.294
11933,0.844
11934,0.126
11935,0.058
11936,0.312
11937,0.996
11938,0.874
11939,0.072
11940,0.472
11941,0.256
11942,0.798
11943,0.014
11944,0.614
11945,1
11946,0.992
11947,0.902
11948,0.324
11949,0.978
11950,0.824
11951,0.252
11952,0.506
11953,0.982
11954,0.258
11955,0.926
11956,1
11957,0.81
11958,0.094
11959,0.936
11960,0.878
11961,0.952
11962,0.15
11963,0.254
11964,0.126
11965,0.252
11966,0.876
11967,0.982
11968,0.782
11969,0.588
11970,0.962
11971,0.468
11972,0.926
11973,0.978
11974,0.986
11975,1
11976,0.652
11977,0.942
11978,0.368
11979,0.99
11980,0.878
11981,0.95
11982,0.682
11983,0.996
11984,0.94
11985,1
11986,0.352
11987,0.948
11988,0.166
11989,0.986
11990,0.976
11991,0.972
11992,0.72
11993,0.872
11994,0.446
11995,0.754
11996,0.936
11997,0.49
11998,0.124
11999,0.498
12000,0.982
12001,0.676
12002,0.968
12003,1
12004,0.998
12005,0.964
12006,0.926
12007,0.992
12008,0.5
12009,0.892
12010,0.998
12011,0.994
12012,0.116
12013,0.09
12014,0.29
12015,0.676
12016,0.404
12017,0.99
12018,0.996
12019,0.956
12020,0.926
12021,0.994
12022,0.948
12023,0.974
12024,0.232
12025,0.998
12026,0.994
12027,0.958
12028,0.53
12029,0.812
12030,0.996
12031,0.976
12032,0.66
12033,0.4
12034,0.812
12035,0.232
12036,0.352
12037,0.444
12038,0.096
12039,0.792
12040,0.074
12041,0.852
12042,0.692
12043,0.28
12044,0.444
12045,0.462
12046,0.752
12047,0.406
12048,0.934
12049,0.99
12050,0.08
12051,0.848
12052,0.012
12053,0.642
12054,0.054
12055,0.996
12056,0.916
12057,0.252
12058,0.692
12059,0.95
12060,0.486
12061,0.964
12062,0.992
12063,0.614
12064,0.75
12065,0.986
12066,0.522
12067,0.87
12068,0.972
12069,0.058
12070,0.068
12071,0.232
12072,0.964
12073,0.702
12074,0.614
12075,0.538
12076,0.992
12077,0.256
12078,0.206
12079,0.548
12080,0.782
12081,0.812
12082,0.994
12083,0.99
12084,0.998
12085,0.35
12086,0.232
12087,0.992
12088,0.11
12089,0.602
12090,0.932
12091,0.996
12092,0.33
12093,0.926
12094,0.936
12095,0.438
12096,0.656
12097,0.98
12098,0.504
12099,0.384
12100,0.124
12101,0.206
12102,0.854
12103,0.042
12104,0.26
12105,0.996
12106,0.234
12107,0.998
12108,0.628
12109,0.246
12110,0.498
12111,0.86
12112,0.572
12113,0.864
12114,1
12115,0.274
12116,0.986
12117,0.732
12118,0.994
12119,0.27
12120,0.148
12121,0.988
12122,0.694
12123,0.98
12124,0.972
12125,0.99
12126,0.976
12127,0.852
12128,0.52
12129,0.89
12130,0.994
12131,0.34
12132,0.566
12133,0.26
12134,0.988
12135,0.098
12136,0.954
12137,0.63
12138,0.794
12139,0.956
12140,0.49
12141,0.364
12142,0.28
12143,0.178
12144,0.102
12145,0.984
12146,0.996
12147,0.992
12148,0.352
12149,0.998
12150,0.172
12151,0.91
12152,0.942
12153,0.096
12154,0.394
12155,0.348
12156,0.99
12157,0.796
12158,0.17
12159,0.382
12160,0.89
12161,0.986
12162,0.832
12163,0.336
12164,0.578
12165,0.218
12166,0.996
12167,0.744
12168,0.962
12169,0.906
12170,0.586
12171,0.062
12172,0.942
12173,0.992
12174,0.594
12175,0.332
12176,0.514
12177,0.938
12178,0.074
12179,0.358
12180,0.524
12181,0.922
12182,0.798
12183,0.916
12184,0.578
12185,0.662
12186,0.716
12187,0.648
12188,0.59
12189,0.584
12190,0.982
12191,0.454
12192,0.652
12193,0.286
12194,0.39
12195,0.218
12196,0.96
12197,0.096
12198,0.11
12199,0.598
12200,0.808
12201,0.986
12202,0.102
12203,0.4
12204,0.406
12205,0.968
12206,0.846
12207,0.084
12208,0.8
12209,0.71
12210,0.02
12211,0.07
12212,0.456
12213,0.942
12214,0.926
12215,0.994
12216,0.026
12217,0.738
12218,0.014
12219,0.628
12220,0.12
12221,0.528
12222,0.196
12223,0.076
12224,0.666
12225,0.31
12226,0.334
12227,0.988
12228,0.812
12229,0.99
12230,0.43
12231,0.882
12232,0.986
12233,0.702
12234,0.99
12235,0.054
12236,0.982
12237,0.994
12238,0.26
12239,0.75
12240,0.99
12241,0.698
12242,0.192
12243,0.072
12244,0.916
12245,0.966
12246,0.184
12247,0.168
12248,0.902
12249,0.686
12250,0.184
12251,0.252
12252,0.468
12253,0.4
12254,1
12255,0.066
12256,0.546
12257,0.384
12258,0.064
12259,0.196
12260,0.986
12261,0.792
12262,0.348
12263,0.982
12264,0.966
12265,0.982
12266,0.312
12267,0.18
12268,0.858
12269,0.146
12270,0.71
12271,0.994
12272,0.76
12273,0.828
12274,0.704
12275,0.26
12276,0.426
12277,0.394
12278,0.55
12279,0.158
12280,0.34
12281,0.39
12282,0.066
12283,0.696
12284,0.296
12285,0.332
12286,0.442
12287,0.346
12288,0.39
12289,0.588
12290,0.044
12291,0.674
12292,0.37
12293,0.112
12294,0.08
12295,0.286
12296,0.262
12297,0.932
12298,0.25
12299,0.39
12300,0.262
12301,0.186
12302,0.1
12303,0.788
12304,0.396
12305,0.934
12306,0.156
12307,0.062
12308,0.992
12309,0.282
12310,0.994
12311,0.118
12312,0.224
12313,0.306
12314,0.306
12315,0.246
12316,0.468
12317,0.26
12318,0.132
12319,0.192
12320,0.176
12321,0.102
12322,0.996
12323,0.224
12324,0.938
12325,0.02
12326,0.084
12327,0.422
12328,0.368
12329,0.312
12330,0.36
12331,0.678
12332,0.998
12333,0.064
12334,0.376
12335,0.146
12336,0.424
12337,0.28
12338,0.278
12339,0.668
12340,0.944
12341,0.076
12342,0.384
12343,0.324
12344,0.622
12345,0.332
12346,0.822
12347,0.104
12348,0.968
12349,0.126
12350,0.08
12351,0.346
12352,0.686
12353,0.972
12354,0.988
12355,0.45
12356,0.188
12357,0.822
12358,0.254
12359,0.324
12360,0.104
12361,0.636
12362,0.02
12363,0.338
12364,0.448
12365,0.144
12366,0.748
12367,0.332
12368,0.302
12369,0.204
12370,0.264
12371,0.306
12372,0.108
12373,0.102
12374,0.988
12375,0.448
12376,0.08
12377,0.14
12378,0.534
12379,0.196
12380,0.408
12381,0.484
12382,0.318
12383,0.36
12384,0.134
12385,0.338
12386,0.034
12387,0.104
12388,0.71
12389,0.474
12390,0.254
12391,0.85
12392,0.99
12393,0.108
12394,0.092
12395,0.296
12396,0.398
12397,0.132
12398,0.276
12399,0.054
12400,0.238
12401,0.024
12402,0.246
12403,0.868
12404,0.042
12405,0.124
12406,0.942
12407,0.064
12408,0.306
12409,0.362
12410,0.322
12411,0.03
12412,0.376
12413,0.906
12414,0.276
12415,0.598
12416,0.126
12417,0.204
12418,0.142
12419,0.352
12420,0.534
12421,0.1
12422,0.072
12423,0.252
12424,0.392
12425,0.336
12426,0.162
12427,0.144
12428,0.278
12429,0.464
12430,0.08
12431,0.262
12432,0.996
12433,0.318
12434,0.254
12435,0.284
12436,0.392
12437,0.13
12438,0.214
12439,0.368
12440,0.42
12441,0.106
12442,0.138
12443,0.144
12444,0.214
12445,0.108
12446,0.382
12447,0.844
12448,0.666
12449,0.426
