"X100","affect","amp","apple","back","box","brand","case","charger","clean","come","condit","condition","corner","cosmet","crack","dent","devic","doe","excel","excellent","fulli","function.","functional","good","great","has","hous","icloud","includ","include","ipad","item","light","like","list","may","mini","minor","mint","near","new","normal","one","onli","open","origin","perfect","pleas","read","scratch","scratches","screen","scuff","see","show","sign","small","still","tab","tear","test","the","this","unit","use","used","veri","wear","wifi","will","work","biddable","startprice","cellular","storage","UniqueID","carrier","productline"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,"1","32",11862,"AT&T","iPad 1"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,"0","16",11863,"None","iPad mini 2"
1,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,219.99,"0","64",11864,"None","iPad 3"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,"0","16",11865,"None","iPad mini"
1,0,0,0,0,0,0,0,0,0,0,1,"Manufacturer refurbished",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,210.99,"0","32",11866,"None","iPad 3"
0,0,0,0,0,1,1,0,0,0,0,0,"New other (see details)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.95,"0","64",11867,"None","iPad Air 2"
0,0,0,0,0,0,0,0,0,0,0,0,"Seller refurbished",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.99,"0","32",11868,"None","iPad 1"
0,0,0,0,0,0,0,0,0,1,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,"0","16",11869,"None","iPad 4"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,149.99,"0","16",11870,"None","iPad 3"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,"0","32",11871,"None","iPad 1"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145.49,"0","16",11872,"None","iPad 2"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,249,"1","16",11873,"AT&T","iPad mini 2"
0,0,0,0,0,0,0,0,0,0,0,0,"Seller refurbished",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.95,"0","32",11874,"None","iPad 2"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,"1","64",11875,"AT&T","iPad 3"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,"0","32",11876,"None","iPad Air"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250,"1","128",11877,"Unknown","iPad mini 2"
0,0,0,0,0,0,0,0,0,0,0,1,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250,"0","16",11878,"None","iPad Air"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,"0","16",11879,"None","iPad 2"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.99,"1","32",11880,"Verizon","iPad 3"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,289,"0","128",11881,"None","iPad mini 2"
1,0,1,0,0,0,0,0,0,0,0,0,"Seller refurbished",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,303.99,"0","64",11882,"None","iPad 4"
0,0,0,0,0,0,0,0,0,0,0,0,"New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.5,"1","16",11883,"Verizon","iPad mini"
0,0,0,0,0,1,0,0,0,0,0,0,"New other (see details)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.99,"0","16",11884,"None","iPad 2"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,"0","32",11885,"None","iPad 1"
0,0,0,0,0,0,0,0,0,0,0,0,"New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,"0","16",11886,"None","iPad mini 3"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,239.99,"1","64",11887,"AT&T","iPad 3"
0,0,0,0,0,0,0,0,0,0,0,0,"Seller refurbished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.85,"0","16",11888,"None","iPad Air"
0,0,0,0,0,0,0,0,0,0,0,0,"New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,"0","16",11889,"None","Unknown"
0,0,0,1,0,0,0,0,0,0,0,0,"Seller refurbished",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,212.99,"0","64",11890,"None","iPad mini"
0,0,0,0,0,0,0,0,0,0,0,0,"Seller refurbished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,"0","64",11891,"None","iPad 4"
0,0,0,0,0,0,0,0,0,0,0,0,"Used",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139,"0","16",11892,"None","iPad 2"
